,id,name,popularity,danceability,energy,liveness,loudness,speechiness,acousticness,instrumentalness,tempo,valence,key
9073,0rQizkwaPX6POSAxtoZiSX,Hmmm,36,0.818,0.817,0.271,-9.704,0.336,0.0509,3.74e-05,140.014,0.519,4.0
9074,4EtQN9yZJuiLQwaZhhAYPq,HMU,53,0.755,0.704,0.0804,-6.954,0.0488,0.372,7.65e-05,81.988,0.553,6.0
9075,56faZoV6GokAXKve3rdb1L,HML,51,0.636,0.646,0.639,-12.22,0.416,0.401,1.28e-06,130.002,0.546,6.0
9076,3JWwVBII0lNbLkrpzpkcFo,HMU If U Don't Like Me,47,0.764,0.429,0.113,-5.637,0.0697,0.523,0.0,104.974,0.815,3.0
9077,5skz6M2QlI0v6Tef9qEhXC,Mr. Espresso,62,0.704,0.00857,0.105,-27.849,0.077,0.843,0.802,129.985,0.473,2.0
9078,0UF2ka9POcLMSi1rf9pwgA,Hmph!,53,0.796,0.958,0.088,-0.341,0.0358,0.0835,0.000423,127.979,0.926,6.0
9079,7oWFZZxPbQZPmWcrq9KQbp,Cold Sting In The Wind,61,0.601,0.0109,0.0754,-26.249,0.0711,0.926,0.93,142.04,0.307,4.0
9080,3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,83,0.491,0.693,0.325,-6.487,0.0377,0.211,6.92e-06,90.027,0.412,0.0
9081,1CfdAWa8DTf1Tbg00h0jPO,Dash Bounce,61,0.665,0.00444,0.0833,-30.978,0.0545,0.835,0.793,123.196,0.17,4.0
9082,696plHV2s0OtjeA1q05fZz,Rip Kompen,60,0.769,0.0177,0.114,-27.676,0.0991,0.884,0.916,142.032,0.421,11.0
9083,6u4XuujRixQBAE2eo3EWK6,Mmmmh (Freestyle),43,0.799,0.402,0.35,-15.474,0.286,0.161,0.0,127.35,0.175,8.0
9084,4OCqVCn7ymgBkuiqHinOUq,HMU!,42,0.69,0.598,0.108,-7.901,0.0331,0.0781,0.0,117.976,0.561,7.0
9085,4gmPXPwhttM2NF37F9GaqX,Blue Camel,60,0.66,0.057,0.126,-25.467,0.0355,0.781,0.86,144.135,0.305,10.0
9086,42WCHGTvmoXWsYKwbijkWy,Six Ten,60,0.792,0.124,0.105,-23.732,0.476,0.785,0.233,79.997,0.421,0.0
9087,0QN1rkBy3D6j9Yw3Czlcsc,Ella Quiere Hmm... Haa... Hmm... - Yayo Remix,63,0.839,0.844,0.143,-2.301,0.0572,0.021,0.00022,99.98,0.369,1.0
9088,7GLqR9ToJLb0PV3XyNAWNm,MMM MMM (feat. ATL Jacob),69,0.85,0.444,0.113,-8.69,0.346,0.134,0.0,86.533,0.187,9.0
9089,36FWP8sAFcKXbXfZAkfNsb,No Wind At The Dock,60,0.762,0.054,0.108,-25.419,0.0836,0.942,0.775,113.095,0.322,6.0
9090,31v2AQlx4pDI7kmnLxBkem,Mmm Mmm Mmm Mmm,69,0.58,0.575,0.0813,-7.72,0.0231,0.25,1.83e-05,92.934,0.37,3.0
9091,3YZ6TmOwh2JaUWeKPtoibR,Prinsessealleen,60,0.642,0.157,0.105,-17.671,0.0855,0.398,0.803,170.061,0.398,1.0
9092,7x20g7oJzfZMu7NGUzXzCS,hm,8,0.538,0.53,0.787,-13.258,0.426,0.935,0.956,143.88,0.567,5.0
9093,4iJPul4bNUOTjkCFbAI58t,Puffy Tail,59,0.54,0.0632,0.11,-20.685,0.0431,0.93,0.959,147.956,0.597,3.0
9094,2vEWBPHbSVfuF8G7lC3Jzg,HM,12,0.621,0.511,0.112,-5.784,0.27,0.728,1.14e-05,185.956,0.183,0.0
9095,0ShdJEt3nvxq8WNDgYLzWm,Single Phial,57,0.698,0.203,0.114,-14.976,0.157,0.885,0.961,94.982,0.809,10.0
9096,0FnaGLo8hWNHsgTAsuV8kM,HM,1,0.887,0.454,0.105,-9.675,0.0607,0.0727,0.344,145.048,0.407,0.0
9097,4AJv7NWAhvxAXEoQagzHn4,Mojave Backyard,59,0.736,0.059,0.114,-23.716,0.0554,0.849,0.941,82.021,0.58,2.0
9098,1T6ExFLQ35x9saJK9Bi8Bj,HM,0,0.378,0.921,0.0797,-5.592,0.122,0.000678,0.00454,165.097,0.608,4.0
9099,64nbwSfn47kQWC4yVLaoys,A Little Help,59,0.656,0.0388,0.105,-26.74,0.0411,0.817,0.895,81.005,0.181,4.0
9100,7ArZuraEJkuGQK8PK5ua83,Hm,0,0.842,0.533,0.13,-6.785,0.233,0.0384,0.0,77.52,0.0803,5.0
9101,2SWK4LJWLyev4yVYIVhjEV,HMU,40,0.332,0.62,0.344,-8.784,0.406,0.33,0.0,72.993,0.389,2.0
9102,1QwD0RDb0ohHOIse71miIf,Tetris,58,0.675,0.0132,0.0791,-20.761,0.062,0.867,0.866,126.053,0.217,6.0
9103,0qvDIDFAxxAsbpamu4fTWJ,HM,0,0.763,0.703,0.0874,-8.01,0.0814,0.0806,0.647,98.019,0.854,10.0
9104,5p4a9U3YVxF5GT5faNQj6t,HMD,35,0.44,0.316,0.0707,-13.26,0.0474,0.976,0.909,112.397,0.0391,7.0
9105,1hnlg2biiTD7srvqiFdmEX,Tulips,58,0.768,0.115,0.0664,-22.746,0.0825,0.862,0.935,83.995,0.629,2.0
9106,4WGLJt5kEWQ9QEx3lWN3k4,hm,0,0.752,0.928,0.085,-6.503,0.0415,0.0681,0.29,130.049,0.937,0.0
9107,2zzHHdM48WM5kE7UMQydML,In Clover,57,0.646,0.199,0.0976,-16.801,0.0574,0.919,0.924,153.932,0.0556,6.0
9108,79haZGkucN0MXyUCH9ewI3,Hm,0,0.708,0.0571,0.107,-15.876,0.0533,0.853,0.0,91.031,0.219,5.0
9109,0W8BAhQCzcccgD4EABB33E,3PM,55,0.861,0.0268,0.118,-22.585,0.0622,0.812,0.936,128.029,0.364,6.0
9110,6Y3huVFOZGAHl6VZAoSO8u,HM,2,0.931,0.418,0.0852,-9.401,0.0786,0.214,0.00204,122.003,0.712,5.0
9111,6v0Aujbqj76e7ix5i40FAb,Fruit Loom,58,0.657,0.00453,0.0676,-28.859,0.0411,0.592,0.502,140.01,0.26,4.0
9112,2FOsRuDOkRjqnNwGhl0aVw,Hm,0,0.193,0.55,0.103,-16.51,0.366,0.896,0.675,140.681,0.127,5.0
9113,3WJs0R8pZ4eOfJx3Om8ySr,Cloyster,55,0.593,0.162,0.0823,-21.771,0.0391,0.94,0.849,169.976,0.585,10.0
9114,3XE2e3EmZgBdLBJDHL2m6s,Hm,0,0.61,0.256,0.111,-15.508,0.0366,0.364,0.0176,116.058,0.367,10.0
9115,2rMEWxHKYoTxPdR780e4Q9,"Trio Sonata For 2 Violins And Continuo In G, Op.5, No.4, HWV 399: 1. Allegro",0,0.487,0.166,0.0845,-20.354,0.043,0.782,0.0587,130.907,0.706,1.0
9116,6TieEd9BS8NdArngd4AvtA,Hngover,58,0.55,0.665,0.158,-8.688,0.269,0.462,2.63e-05,79.845,0.146,1.0
9117,4lH6nENd1y81jp7Yt9lTBX,Solo,65,0.784,0.486,0.101,-6.497,0.0475,0.0538,0.497,110.964,0.0894,5.0
9118,6hljcHcXCHYsYJph2WmENk,Sunday,61,0.345,0.416,0.175,-12.27,0.0284,0.383,0.849,100.193,0.691,7.0
